,text,user
250,"@JoeBiden I'll never ""come together"" under the brand of leftism you and your globalists handlers represent.  You ar… https://t.co/C7mKoL0dAQ",BonkPolitics
251,@JoeBiden Says the leader of the side that ignores biology.,BrokenRender
252,@JoeBiden I would ask that you reset all the government agencies/policies back to when Obama was in office. America… https://t.co/PcK5VD7nuj,Fredrick1969
253,@JoeBiden @TheDemocrats @realDonaldTrump I want a President and Congress that proves they care about my opinion &amp; v… https://t.co/b3fEZRCAdv,ann_arkansas
254,@JoeBiden You also said during last week's townhall that the President had told citizens to inject bleach into thei… https://t.co/rWvehfBq2x,jgoldstein7
255,RT @jtLOL: @JoeBiden How many genders are there?,conradtaylor67
256,@JoeBiden @qhardy ... https://t.co/D3kSJCWtTP,RahimHakimi
257,"RT @MarkDice: @JoeBiden The (computer forensic) scientists say that the Hunter Biden emails are real, and that it *is* his laptop.",StephenMattiso3
258,@JoeBiden https://t.co/naWjXkmoXk,sinaicedars
259,@JoeBiden Science says there are two genders. Why do you deny science?,dalebright
260,@JoeBiden https://t.co/8XNLPnuEXJ,RBorrelli
261,@JoeBiden @KamalaHarris Don't let him smell your hair.,biten_jo
262,@JoeBiden @SymoneDSanders should go to JAIL for this! @DineshDSouza did! https://t.co/2vVeZy1T1O,smmarrujo
263,@JoeBiden Breaking news!  Mostly peaceful selling out of our country by the Biden family to the highest bidder!!,My_IvanTheT
264,"@JoeBiden dude, are you sure you don't want to keep Trump in the whitehouse? You are cleaning up man! 🤣 https://t.co/0Mw02jQYqb",thekarenjeanne
265,@JoeBiden last ditch effort? Your own son did this. The effort comes from within your own family. You made your bed… https://t.co/WlsOnc2Fl1,SGRider41
266,RT @paulhunghk1001: @JoeBiden https://t.co/UpKDSGpLtt,NoDaTeddi
267,"@JoeBiden Coming from the idiot that supports kids being transgender, you’re a sick human being.",TN_4TRUMP
268,"@JoeBiden Come out, come out, wherever you are! This four corners offense isn’t going to work 🤔",bbro11111
269,@JoeBiden Not ONE person condemned the violence after George Floyd’s death at the DNC. Not. One.  Kamala gave funds… https://t.co/IrpuboD8rf,susancoughlin14
270,@JoeBiden @KamalaHarris Yes we are going to.get him out of office before we lose too many more Americans,LawrenceGuterm1
271,@JoeBiden https://t.co/hnWuNEKSgd,bigtone1922
272,@JoeBiden Démocrate joe biden = complice des Terroristes !,SAMHICHAM2
273,@JoeBiden I thought you weren’t allowed out of your basement until Thursday ?,Jessisblessed8
274,@JoeBiden https://t.co/GWvmuqGRcV,Alirind120
275,@JoeBiden Except for the fact you’re a complete nutbag and only attract other nutbags,ryandalemeyer
276,@JoeBiden https://t.co/yKm0qe4iZi,rsanta02
277,@JoeBiden Overcome #HuntersLapTop is impossible. That's the tweet.,CoronaDeko
278,@JoeBiden Congratulations in advance,Abdiazizabdijim
279,"@JoeBiden Use these lines in debate: Bolton: ""He has mentality of a 6th grader"". ""Attention span of a fruitfly"".. R… https://t.co/qore2z7rlK",conventiontwelv
280,RT @owens_kristi: @JoeBiden We held our own little rally today https://t.co/OROgAJjemK,gregorywoods4
281,@JoeBiden Which scientists? Because anytime anybody tries to bring scientific proof forward that goes against the l… https://t.co/FGjK3q6ilu,Payneography101
282,@JoeBiden BUSTED! https://t.co/ZHnT4QnX22,asett33
283,"@JoeBiden @KamalaHarris Gonna be honest, the minimum requirement to be a super hero is helping people and although… https://t.co/5Ft2j9oKDD",Terrence_STR
